rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_angseperr1,pl_angseperr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,st_plxerr1,st_plxerr2,st_plxlim,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_pm,st_pmerr,st_pmlim,gaia_pmra,gaia_pmraerr,gaia_pmralim,gaia_pmdec,gaia_pmdecerr,gaia_pmdeclim,gaia_pm,gaia_pmerr,gaia_pmlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_sp,st_spstr,st_sperr,st_splim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_dens,st_denserr1,st_denserr2,st_denslim,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metratio,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_acts,st_actserr,st_actslim,st_actr,st_actrerr,st_actrlim,st_actlx,st_actlxerr,st_actlxlim,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_ujerr,st_ujlim,st_vj,st_vjerr,st_vjlim,st_bj,st_bjerr,st_bjlim,st_rc,st_rcerr,st_rclim,st_ic,st_icerr,st_iclim,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,st_k,st_kerr,st_klim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,st_irac1,st_irac1err,st_irac1lim,st_irac2,st_irac2err,st_irac2lim,st_irac3,st_irac3err,st_irac3lim,st_irac4,st_irac4err,st_irac4lim,st_mips1,st_mips1err,st_mips1lim,st_mips2,st_mips2err,st_mips2lim,st_mips3,st_mips3err,st_mips3lim,st_iras1,st_iras1err,st_iras1lim,st_iras2,st_iras2err,st_iras2lim,st_iras3,st_iras3err,st_iras3lim,st_iras4,st_iras4err,st_iras4lim,st_photn,st_umbj,st_umbjerr,st_umbjlim,st_bmvj,st_bmvjerr,st_bmvjlim,st_vjmic,st_vjmicerr,st_vjmiclim,st_vjmrc,st_vjmrcerr,st_vjmrclim,st_jmh2,st_jmh2err,st_jmh2lim,st_hmk2,st_hmk2err,st_hmk2lim,st_jmk2,st_jmk2err,st_jmk2lim,st_bmy,st_bmyerr,st_bmylim,st_m1,st_m1err,st_m1lim,st_c1,st_c1err,st_c1lim,st_colorn
545,HD 185269,b,HD 185269 b,Radial Velocity,0,1,6.83776000,0.00027000,-0.00027000,0,0.077000,0.003400,-0.003400,0,0.229000,0.014000,-0.014000,0,,,,0,1.01000,0.01400,-0.01400,0,Msini,,,,,,,,0,0,0,0,0,19h37m11.74s,294.298920,+28d29m59.5s,28.499865,52.07,0.08,-0.08,0,52.07,0.08,-0.08,0,6.670,,0,V (Johnson),6.518,,0,5923.00,,,0,1.30,,,0,2.00,,,0,2018-12-06,0,1,0,0,0,0,1.48000e+00,6.500000e-02,-6.500000e-02,2453154.250000,0.110000,-0.110000,0,176.2000,3.5000,-3.5000,0,93.300,1.400,-1.400,0,,,,0,,,,0,,,,0,1.01000,0.01400,-0.01400,0,,,,0,321.00830,4.44962,-4.44962,0,321.00830,4.44962,-4.44962,0,,,,,,,,,,,,0,,,,0,,,,0,JD,,,,0,,,,0,,,,0,,,,0,Luhn et al. 2018,2006, Johnson et al. 2006 ,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,60,21,http://exoplanet.eu/catalog/hd_185269_b/,http://exoplanets.org/detail/HD_185269_b,2006-12,HD 185269,HIP 96507,19.61992798,63.271653,3.580696,303.562680,49.146810,19.20,0.03,-0.03,0,19.20,0.03,-0.03,0,-31.500,0.000,0,-80.800,0.000,0,86.700,0.000,0,-31.500,0.000,0,-80.800,0.000,0,86.700,0.000,0,0.62,0.00,0.00,0,4.00,G0 IV,,0,3.92,,,0,,,,0,,,,0,,,,0,,,,,0,6.1000,0.5000,-0.5000,0,,,,,,,,,,,3,0,1,2,0,3,1,,,,6.670,,0,7.267,0.015,0,,,,,,,5.518,0.027,0,5.400,0.069,0,5.260,0.018,0,5.133,0.128,0,5.044,0.081,0,5.250,0.015,0,5.175,0.035,0,,,,,,,,,,,,,,,,,,,,,,4.661e+00,1.530e-01,0,3.575e+00,,1,8.900e-01,,1,-2.737e+00,,1,19,,,,0.598,0.018,0,,,,,,,0.118,0.074,0,0.140,0.071,0,0.258,0.032,0,,,,,,,,,,5
553,HD 190360,c,HD 190360 c,Radial Velocity,0,2,17.11100000,0.00480000,-0.00480000,0,0.130400,0.007500,-0.007500,0,0.237000,0.082000,-0.082000,0,,,,,0.06000,0.00760,-0.00760,0,Msini,,,,,,,,,0,0,0,0,20h03m37.40s,300.905853,+29d53m48.5s,29.896805,16.01,0.02,-0.02,0,16.01,0.02,-0.02,0,5.730,,0,V (Johnson),5.534,,0,5552.00,11.00,-11.00,0,0.99,0.08,-0.08,0,1.14,0.02,-0.02,0,2014-08-21,0,1,0,0,0,0,8.14000e+00,4.680000e-01,-4.680000e-01,2454390.000000,31.000000,-31.000000,0,5.0000,26.0000,-26.0000,0,4.840,0.510,-0.510,0,,,,,,,,,,,,,0.06000,0.00760,-0.00760,0,,,,,19.06900,2.41540,-2.41540,0,19.06900,2.41540,-2.41540,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Wright et al. 2009 ,2005, Vogt et al. 2005 ,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,66,36,http://exoplanet.eu/catalog/hd_190360_c/,http://exoplanets.org/detail/HD_190360_c,2005-10,HD 190360,HIP 98767,20.06039022,67.410863,-0.672376,312.603001,48.867344,62.44,0.06,-0.06,0,62.44,0.06,-0.06,0,683.300,0.100,0,-525.700,0.100,0,862.100,0.100,0,683.300,0.100,0,-525.700,0.100,0,862.100,0.100,0,-45.35,0.00,0.00,0,4.60,G6 IV,,0,4.32,0.03,-0.03,0,,,,0,,,,0,0.240,,,0,[Fe/H],,,,0,2.2000,,,0,0.148,0.019,0,-5.090,,0,,,,,5,0,1,4,0,4,6,6.800,,0,5.730,,0,6.420,,0,,,,,,,4.554,0.226,0,4.239,0.252,0,4.076,0.027,0,4.007,0.301,0,3.706,0.209,0,4.049,0.014,0,4.050,0.024,0,,,,,,,,,,,,,,,,,,,,,,3.602e+00,1.530e-01,0,3.465e+00,,1,-1.220e+00,,1,-5.108e+00,,1,23,0.380,,0,0.720,,0,,,,,,,0.315,0.338,0,0.163,0.253,0,0.478,0.228,0,0.461,0.002,0,0.275,0.002,0,0.372,0.006,0,11
561,HD 195019,b,HD 195019 b,Radial Velocity,0,1,18.20132000,0.00039000,-0.00039000,0,0.140000,0.000000,0.000000,0,0.010000,0.000000,0.000000,0,,,,0,3.98000,0.17000,-0.17000,0,Msini,,,,0,,,,0,0,0,0,0,20h28m18.63s,307.077637,+18d46m10.2s,18.769497,37.71,0.07,-0.07,0,37.71,0.07,-0.07,0,6.870,,0,V (Johnson),6.729,,0,5751.00,21.00,-21.00,0,1.21,0.08,-0.08,0,1.48,0.03,-0.03,0,2018-09-06,0,1,0,0,0,0,3.71000e+00,7.000000e-03,-7.000000e-03,,,,0,,,,0,271.500,1.500,-1.500,0,,,,0,,,,0,,,,,3.98000,0.17000,-0.17000,0,,,,,1264.96340,54.03110,-54.03110,0,1264.96340,54.03110,-54.03110,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,Stassun et al. 2017,1998, Fischer et al. 1999 ,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,77,30,http://exoplanet.eu/catalog/hd_195019_b/,http://exoplanets.org/detail/HD_195019_b,1999-01,HD 195019,HIP 100970,20.47184245,61.155942,-11.475542,315.290838,36.561706,26.52,0.05,-0.05,0,26.52,0.05,-0.05,0,349.600,0.100,0,-56.600,0.100,0,354.200,0.100,0,349.600,0.100,0,-56.600,0.100,0,354.200,0.100,0,-93.10,2.00,-2.00,0,4.30,G3 V/IV,,0,4.18,0.02,-0.02,0,,,,0,,,,0,0.050,,,0,[Fe/H],,,,0,2.4700,,,0,0.147,0.019,0,-5.090,,0,,,,,8,0,1,7,0,3,2,,,,6.870,,0,7.530,,0,,,,,,,5.604,0.018,0,5.325,0.020,0,5.256,0.016,0,5.162,0.186,0,5.011,0.068,0,5.212,0.018,0,5.185,0.035,0,,,,,,,,,,,,,,,,,,,,,,4.874e+00,9.800e-02,0,3.575e+00,,1,1.184e+00,,1,-3.000e+00,,1,19,,,,0.660,,0,,,,,,,0.279,0.027,0,0.069,0.026,0,0.348,0.024,0,0.424,0.003,0,0.198,0.004,0,0.364,0.005,0,12
569,HD 200964,b,HD 200964 b,Radial Velocity,0,2,606.30000000,3.80000000,-3.80000000,0,1.565000,0.083000,-0.083000,0,0.087000,0.035000,-0.035000,0,,,,0,1.59900,0.06700,-0.06700,0,Msini,,,,,,,,0,0,0,0,0,21h06m39.84s,316.666016,+03d48m11.2s,3.803119,72.74,0.24,-0.24,0,72.74,0.24,-0.24,0,6.480,,0,V (Johnson),6.232,,0,4982.00,,,0,1.39,,,0,4.92,,,0,2018-12-06,0,1,0,0,0,0,2.15000e+01,1.140000e+00,-1.140000e+00,2455350.000000,49.000000,-49.000000,0,133.0000,30.0000,-30.0000,0,30.900,1.300,-1.300,0,,,,0,,,,0,,,,0,1.59900,0.06700,-0.06700,0,,,,0,508.21017,21.29461,-21.29461,0,508.21017,21.29461,-21.29461,0,,,,,,,,,,,,0,,,,0,,,,0,JD,,,,0,,,,0,,,,0,,,,0,Luhn et al. 2018,2010, Johnson et al. 2010 ,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,49,18,http://exoplanet.eu/catalog/hd_200964_b/,http://exoplanets.org/detail/HD_200964_b,2011-01,HD 200964,HIP 104202,21.11106771,53.564734,-27.635478,320.332230,19.464841,13.75,0.05,-0.05,0,13.75,0.05,-0.05,0,94.600,0.100,0,50.600,0.100,0,107.300,0.100,0,94.600,0.100,0,50.600,0.100,0,107.300,0.100,0,-71.68,0.23,-0.23,0,4.80,G8 IV,,0,3.22,,,0,,,,0,,,,0,,,,0,,,,,0,2.2800,0.5000,-0.5000,0,,,,,,,,,,,1,0,1,0,0,3,1,,,,6.480,,0,7.378,0.016,0,,,,,,,4.802,0.021,0,4.459,0.036,0,4.286,0.015,0,4.303,0.297,0,3.839,0.147,0,4.313,0.017,0,4.232,0.031,0,,,,,,,,,,,,,,,,,,,,,,3.832e+00,7.600e-02,0,3.575e+00,,1,1.184e+00,,1,-9.160e-01,,1,18,,,,0.891,0.019,0,,,,,,,0.343,0.042,0,0.173,0.039,0,0.516,0.026,0,,,,,,,,,,5
577,HD 2039,b,HD 2039 b,Radial Velocity,0,1,1120.00000000,23.00000000,-23.00000000,0,2.200000,0.060000,-0.060000,0,0.710000,0.050000,-0.050000,0,,,,0,6.29000,1.16000,-1.16000,0,Msini,,,,0,,,,0,0,0,0,0,00h24m20.28s,6.084491,-56d39m00.2s,-56.650047,85.90,0.20,-0.20,0,85.90,0.20,-0.20,0,9.000,,0,V (Johnson),8.860,,0,5945.00,36.00,-36.00,0,1.23,0.19,-0.19,0,1.19,0.03,-0.03,0,2018-09-06,0,1,0,0,0,0,2.56000e+01,7.000000e-01,-7.000000e-01,,,,0,,,,0,153.000,22.000,-22.000,0,,,,0,,,,0,,,,,6.29000,1.16000,-1.16000,0,,,,,1999.15070,368.68280,-368.68280,0,1999.15070,368.68280,-368.68280,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,Stassun et al. 2017,2002, Tinney et al. 2003 ,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,3,0,55,23,http://exoplanet.eu/catalog/hd_2039_b/,http://exoplanets.org/detail/HD_2039_b,2003-04,HD 2039,HIP 1931,0.40563272,310.403585,-60.083260,332.976891,-52.146057,11.64,0.03,-0.03,0,11.64,0.03,-0.03,0,78.500,0.000,0,14.500,0.000,0,79.800,0.000,0,78.500,0.000,0,14.500,0.000,0,79.800,0.000,0,8.40,0.20,-0.20,0,4.25,G2/G3 IV/V,,0,4.38,0.06,-0.06,0,,,,0,,,,0,0.300,,,0,[Fe/H],,,,0,3.2500,,,0,,,,,,,,,,,3,0,1,2,0,3,0,,,,9.000,,0,9.660,,0,,,,,,,7.912,0.019,0,7.652,0.059,0,7.549,0.026,0,7.473,0.035,0,7.579,0.020,0,7.552,0.018,0,7.408,0.121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,0.660,,0,,,,,,,0.260,0.062,0,0.103,0.064,0,0.363,0.032,0,0.406,0.001,0,0.209,0.003,0,0.403,0.006,0,12
585,HD 20781,c,HD 20781 c,Radial Velocity,0,4,13.89050000,0.00330000,-0.00340000,0,0.100400,0.004600,-0.005100,0,0.090000,0.090000,-0.060000,0,,,,0,0.01680,0.00220,-0.00210,0,Msini,,,,0,,,,0,0,0,0,0,03h20m02.94s,50.012260,-28d47m01.8s,-28.783834,35.37,1.35,-1.35,0,36.01,0.05,-0.05,0,8.480,,0,V (Johnson),8.237,,0,5256.00,29.00,-29.00,0,0.70,,,0,,,,0,2019-02-07,0,1,0,0,0,0,2.84000e+00,1.750000e-01,-1.750000e-01,2455503.520400,2.042500,-2.681500,0,7.4400,53.8700,-70.2100,0,1.810,0.160,-0.160,0,,,,0,,,,0,,,,0,0.01680,0.00220,-0.00210,0,,,,0,5.33000,0.70000,-0.67000,0,5.33000,0.70000,-0.67000,0,,,,0,,,,0,,,,0,,,,0,,,,0,BJD,,,,0,,,,0,,,,0,,,,0,Udry et al. 2019,2019,Udry et al. 2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,3,0,20,15,http://exoplanet.eu/catalog/hd_20781_c/,,,HD 20781,HIP 15526,3.33415070,224.672577,-57.273304,37.009827,-45.144400,28.27,1.08,-1.08,0,27.77,0.04,-0.04,0,348.847,0.065,0,-66.663,0.076,0,355.160,0.066,0,348.847,0.065,0,-66.663,0.076,0,355.160,0.066,0,40.31,0.14,-0.14,0,5.00,K0 V,,0,4.37,0.05,-0.05,0,-0.310,0.034,-0.037,0,,,,0,-0.110,0.020,-0.020,0,[Fe/H],,,,0,1.1000,,,0,,,,,,,,,,,1,0,1,0,0,0,0,,,,8.480,,0,9.263,0.017,0,,,,,,,7.045,0.024,0,6.642,0.042,0,6.553,0.022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,0.820,,0,,,,,,,0.403,0.048,0,0.089,0.047,0,0.492,0.033,0,0.480,0.002,0,0.326,0.003,0,0.308,0.004,0,9
593,HD 20794,d,HD 20794 d,Radial Velocity,0,4,90.30900000,0.18400000,-0.18400000,0,0.349900,0.005900,-0.005900,0,0.000000,,,0,90.000,,,0,0.01500,0.00200,-0.00200,0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782,6.00,0.01,-0.01,0,6.00,0.01,-0.01,0,4.270,,0,V (Johnson),3.981,,0,5401.00,17.00,-17.00,0,0.70,,,0,,,,,2015-08-27,0,1,0,0,0,0,5.83000e+01,9.900000e-01,-9.900000e-01,,,,,0.0000,,,0,0.850,0.100,-0.100,0,388,,,0,,,,,,,,,0.01510,0.00189,-0.00189,0,,,,,4.80000,0.60000,-0.60000,0,4.80000,0.60000,-0.60000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pepe et al. 2011 ,2011, Pepe et al. 2011 ,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,3,0,49,39,http://exoplanet.eu/catalog/hd_20794_d/,http://exoplanets.org/detail/HD_20794_d,2011-10,HD 20794,HIP 15510,3.33212509,250.746259,-56.076800,27.223467,-58.111756,166.56,0.23,-0.23,0,166.56,0.23,-0.23,0,3033.700,0.500,0,730.800,0.600,0,3120.500,0.500,0,3033.700,0.500,0,730.800,0.600,0,3120.500,0.500,0,87.95,0.00,0.00,0,4.80,G8 V,,0,4.22,0.11,-0.11,0,,,,,,,,,-0.400,0.010,-0.010,0,[Fe/H],5.760,0.660,-0.660,,3.0000,,,1,0.166,,0,-4.980,,0,26.700,,0,,1,0,1,0,0,4,0,5.200,,0,4.270,,0,4.980,,0,3.850,,0,3.465,,0,3.032,0.262,0,2.709,0.234,0,2.636,0.278,0,,,,,,,,,,,,,,,,,,,,,,,,,2.470e+00,4.300e-02,0,2.291e+00,1.690e-01,0,,,,2.030e+00,5.400e-02,0,2.080e+00,8.700e-02,0,1.184e+00,,1,-9.160e-01,,1,30,0.220,,0,0.710,,0,0.795,,0,0.410,,0,0.323,0.351,0,0.073,0.363,0,0.396,0.382,0,0.439,0.003,0,0.235,0.004,0,0.285,0.004,0,18
601,HD 210277,b,HD 210277 b,Radial Velocity,0,1,442.19000000,0.50000000,-0.50000000,0,1.130000,0.020000,-0.020000,0,0.480000,0.020000,-0.020000,0,,,,0,1.29000,0.05000,-0.05000,0,Msini,,,,0,,,,0,0,0,0,0,22h09m29.87s,332.374451,-07d32m55.2s,-7.548654,21.31,0.02,-0.02,0,21.31,0.02,-0.02,0,6.530,,0,V (Johnson),6.343,,0,5538.00,14.00,-14.00,0,1.01,0.05,-0.05,0,1.07,0.01,-0.01,0,2018-09-06,0,1,0,0,0,0,5.30000e+01,9.400000e-01,-9.400000e-01,,,,0,,,,0,38.900,0.800,-0.800,0,,,,0,,,,0,,,,,1.29000,0.05000,-0.05000,0,,,,,410.00070,15.89150,-15.89150,0,410.00070,15.89150,-15.89150,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,Stassun et al. 2017,1998, Marcy et al. 1999 ,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,84,39,http://exoplanet.eu/catalog/hd_210277_b/,http://exoplanets.org/detail/HD_210277_b,1999-07,HD 210277,HIP 109378,22.15829671,52.350323,-46.965096,331.645875,3.572957,46.92,0.05,-0.05,0,46.92,0.05,-0.05,0,85.500,0.100,0,-450.500,0.100,0,458.600,0.100,0,85.500,0.100,0,-450.500,0.100,0,458.600,0.100,0,-21.10,2.00,-2.00,0,4.90,G8/K0 V,,0,4.38,0.02,-0.02,0,,,,0,,,,0,0.220,,,0,[Fe/H],,,,0,1.8000,0.5000,-0.5000,0,0.155,0.020,0,-5.060,,0,,,,,6,0,1,5,0,4,1,,,,6.530,,0,7.280,,0,6.125,,0,5.765,,0,5.275,0.024,0,4.957,0.031,0,4.799,0.020,0,4.781,0.221,0,4.503,0.131,0,4.837,0.016,0,4.801,0.029,0,,,,,,,,,,,,,4.841e+00,3.500e-02,0,4.970e+00,3.000e-01,0,,,,4.323e+00,9.800e-02,0,3.155e+00,,1,1.184e+00,,1,-9.160e-01,,1,32,,,,0.750,,0,0.765,,0,0.405,,0,0.318,0.039,0,0.158,0.037,0,0.476,0.031,0,,,,,,,,,,11
609,HD 214823,b,HD 214823 b,Radial Velocity,0,1,1854.40000000,1.10000000,-1.10000000,0,3.230000,0.200000,-0.200000,0,0.164100,0.002600,-0.002600,0,,,,0,20.30000,2.60000,-2.60000,0,Msini,,,,0,,,,0,0,0,0,0,22h40m19.87s,340.082794,+31d47m15.3s,31.787594,101.66,0.49,-0.49,0,101.66,0.49,-0.49,0,8.060,,0,V (Johnson),7.916,,0,5933.00,,,0,1.31,0.24,-0.24,0,2.04,0.15,-0.15,0,2018-09-27,0,1,0,0,0,0,3.18000e+01,1.970000e+00,-1.970000e+00,2463793.100000,5.900000,-5.900000,0,124.0000,1.2000,-1.2000,0,285.470,0.960,-0.960,0,,,,0,,,,0,,,,0,20.30000,2.60000,-2.60000,0,,,,0,6451.94900,826.35800,-826.35800,0,6451.94900,826.35800,-826.35800,0,,,,0,,,,0,,,,0,,,,0,,,,0,JD,,,,0,,,,0,,,,0,,,,0,Ment et al. 2018,2016,D&iacute;az et al. 2016,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,3,0,29,16,http://exoplanet.eu/catalog/hd_214823_b/,,,HD 214823,HIP 111928,22.67218628,92.859261,-23.319090,355.982176,36.761539,9.84,0.05,-0.05,0,9.84,0.05,-0.05,0,81.200,0.100,0,-18.100,0.100,0,83.200,0.100,0,81.200,0.100,0,-18.100,0.100,0,83.200,0.100,0,-44.50,0.01,-0.01,0,4.00,G0,,0,,,,0,0.670,0.060,-0.060,0,,,,0,0.140,,,0,[Fe/H],4.340,0.500,-0.500,0,5.7000,,,0,,,,,,,,,,,1,0,1,0,0,3,1,,,,8.060,,0,8.676,0.016,0,,,,,,,6.952,0.020,0,6.697,0.021,0,6.640,0.016,0,6.479,0.086,0,6.497,0.024,0,6.614,0.016,0,6.530,0.060,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,0.631,,0,,,,,,,0.255,0.029,0,0.057,0.026,0,0.312,0.026,0,0.385,0.003,0,0.174,0.004,0,0.420,0.006,0,10
617,HD 216437,b,HD 216437 b,Radial Velocity,0,1,1334.28000000,13.07000000,-13.36000000,0,2.497000,0.036000,-0.037000,0,0.317000,0.028000,-0.027000,0,,,,0,2.22300,0.05800,-0.05800,0,Msini,,,,0,,,,0,0,0,0,0,22h54m39.48s,343.664520,-70d04m25.3s,-70.073708,26.71,0.03,-0.03,0,26.71,0.03,-0.03,0,6.057,0.001,0,V (Johnson),5.883,,0,5909.00,31.00,-31.00,0,1.17,0.05,-0.05,0,1.39,0.03,-0.03,0,2019-06-27,0,1,0,0,0,0,9.35000e+01,1.370000e+00,-1.370000e+00,2457289.200000,52.200000,-46.600000,0,65.0920,5.5150,-5.3940,0,39.080,1.070,-1.040,0,,,,0,,,,0,,,,0,2.22300,0.05800,-0.05800,0,,,,0,706.53609,18.43414,-18.43414,0,706.53609,18.43414,-18.43414,0,,,,0,,,,0,,,,0,,,,0,,,,0,BJD,,,,0,,,,0,,,,0,,,,0,Barbato et al. 2018,2002, Jones et al. 2002 ,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,3,0,67,35,http://exoplanet.eu/catalog/hd_216437_b/,http://exoplanets.org/detail/HD_216437_b,2002-12,HD 216437,HIP 113137,22.91096802,316.272217,-43.905396,305.300204,-55.530181,37.44,0.04,-0.04,0,37.44,0.04,-0.04,0,-43.500,0.100,0,73.000,0.100,0,85.000,0.100,0,-43.500,0.100,0,73.000,0.100,0,85.000,0.100,0,-2.70,0.20,-0.20,0,4.25,G2/3 IV,,0,4.19,0.03,-0.03,0,,,,0,,,,0,0.200,0.100,-0.100,0,[Fe/H],4.750,1.059,-1.059,0,2.5000,,,0,,,,,,,,,,,4,0,1,3,0,3,1,6.950,,0,6.057,0.001,0,6.710,,0,,,,,,,5.044,0.037,0,4.923,0.076,0,4.518,0.031,0,4.525,0.242,0,4.251,0.169,0,4.557,0.015,0,4.527,0.029,0,,,,,,,,,,,,,4.565e+00,3.500e-02,0,5.115e+00,9.880e-01,0,,,,4.198e+00,6.500e-02,0,3.575e+00,,1,1.184e+00,,1,-9.160e-01,,1,29,0.240,,0,0.677,0.009,0,,,,,,,0.121,0.085,0,0.405,0.082,0,0.526,0.048,0,0.415,0.000,0,0.220,0.003,0,0.395,0.006,0,15
